,debit_amount_count,debit_amount_sum,debit_amount_mean,debit_amount_std,debit_debit_roll_cnt_30d_mean,debit_debit_roll_mean_30d_mean,debit_debit_roll_std_30d_mean,debit_debit_amount_spike_ratio_7d_mean,debit_debit_tx_rate_spike_7d_mean,debit_debit_amount_volatility_30d_mean,credit_amount_count,credit_amount_sum,credit_amount_mean,credit_amount_std,credit_credit_roll_cnt_30d_mean,credit_credit_roll_mean_30d_mean,credit_credit_roll_std_30d_mean,credit_credit_amount_spike_ratio_7d_mean,credit_credit_tx_rate_spike_7d_mean,credit_credit_amount_volatility_30d_mean,out_unique,in_unique,fan_out_ratio,fan_in_ratio,in_out_ratio,IsolationForest_score,LocalOutlierFactor_score,OneClassSVM_score,EllipticEnvelope_score,graph_anomaly_score,anomaly_flag
1b21a7645f64d170,1.0,2357825.15,2357825.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5317691.260000001,136351.05794871796,778110.8614545321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.025641024983563465,2.2553374070162695,0.2584275203154483,0.019638380170735978,0.5280955034816305,4.9569175201237056e-05,0.201552743285754,0
1c3f31b0b8c13d69,8.0,10384000.0,1298000.0,1337301.3337101168,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9832.35,4916.175,2708.523027860387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12499998437500197,0.499999750000125,0.0009468750000962108,0.1911451465197062,0.03835680499240254,0.14345208559921396,5.498129437060511e-09,0.09323851065236304,0
1d83fd5f5fefc19f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3869610.44,322467.5366666667,603827.3992811965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333332638888948,3869610440001.0,0.08841399469948269,0.012489652194598726,0.6644327542646852,6.646983200062398e-05,0.1913507177476918,0
1dee298b3b4c3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,117500.0,29375.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24999993750001562,117500000001.0,0.0034931659530190846,0.0,0.7354372599075357,3.2507516882467175e-08,0.18473261459201792,0
20b5688cbd9506bf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41469.3,6911.55,2177.0731855498107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666663888889352,41469300001.00001,0.00718382008128353,0.0018254548823153352,0.7999066429402699,4.35208951590583e-08,0.20222899035619096,0
225acb9ed4f34af6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,104892.53,7492.323571428571,3093.906156385005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142856632653098,104892530001.0,0.01545352444985139,0.002670728397160535,0.8806754142906177,3.024454930830018e-08,0.22469992434554473,0
2b652fbf87f8d72b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13600.0,13600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,13600000001.000002,0.01588426424523188,0.0025423995910335306,0.9876561275241776,5.150406364030916e-08,0.2515207107161267,0
2da52242895cf5c0,1.0,1630000.0,1630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2432889.2199999997,304111.15249999997,284284.7833654488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.12499998437500197,1.4925700736193295,0.17871925365662775,0.009941490408789527,0.49061993112256735,6.078735155888219e-06,0.16982168848078513,0
2ebab5456c6c09c5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57000.0,28500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,57000000001.0,0.0,0.004117954857466645,0.667860924985448,4.314196897305342e-09,0.1679947210392779,0
306735212f8e109d,1.0,11000000.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,0.0,9.090909090908264e-14,0.3542670439173495,0.06400355243937986,0.9984770112023778,2.1864564126901563e-07,0.3541869565511871,0
30eab7feb438f129,2.0,15340.5,7670.25,3498.778495446661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,0.0,6.518692349889593e-11,0.15641845786324307,0.03642036472853142,0.632821100720997,2.1864564131745604e-07,0.20641503548960322,0
333706e1b48a76ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,200000000001.00003,0.03194937485954513,0.0025423995910335484,0.9281851178069511,1.601196001939494e-07,0.24066926309428252,0
33f2ff7ebb54463b,9.0,22637944.0,2515327.111111111,2127399.6528661726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11111109876543349,0.0,4.417362283429784e-14,0.2627409688526909,0.06963823636381221,0.206572795100167,2.18645641260368e-07,0.13473805474057785,0
35a482f88fe31cd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,190000.0,95000.0,84852.8137423857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,190000000001.00003,0.011758629739621199,0.003988594920025439,0.6264959386878084,4.012775832725663e-07,0.16056089115625957,0
365a9e654bc3d301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25935696.0,1852549.7142857143,4948383.486707979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142856632653098,25935696000001.0,0.32761513807716586,0.14873491414419976,0.9959426460977596,0.0036243343179675766,0.3689792581592732,0
385844c16cc4dcb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,520.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,520000001.0,0.020812632550488895,0.002542399591033541,0.9923201649835329,6.42356142541191e-08,0.25391881534016736,0
3a9c5401f637dd8d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20178108.0,2017810.8,3080985.9035182516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09999999000000101,20178108000001.0,0.2587512548817784,0.10574097545862561,0.5851829256006279,0.0017564945823067082,0.23785791263083467,0
3f64d17c465bbf92,1.0,1696.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.9999990000010001,1.1792452829131808,0.17134216204040598,0.09499998148284033,0.9967634260471061,6.163315982007894e-08,0.31577640780087807,0
40149916b115417d,1.0,5975.67,5975.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,125839.28,8988.52,6252.978464846235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.07142856632653098,21.058605977227888,0.12552673466129788,0.009192497330501466,0.9075668729817215,6.824378411741462e-08,0.26057154330432625,0
41face6c4b94dd88,8.0,50352.0,6294.0,118.79393923933996,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7645440.0,305817.6,45650.729209217825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12499998437500197,0.03999999840000006,151.83984747078884,0.13625871958550617,0.00818751337045886,0.66982885326855,5.388866566590223e-06,0.2035701187727704,0
4242481819cb0f02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,166370.0,83185.0,30169.64420027522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,166370000001.0,0.004835018072368588,0.003882073142678803,0.6418982210472591,9.670248802646965e-09,0.16265383048313883,0
446b8f53fb0a0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57000.0,28500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,57000000001.0,0.0,0.004117954857466645,0.667860924985448,4.314196897305342e-09,0.1679947210392779,0
4568a94b7a61a595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13998.0,4666.0,1429.8835616930492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333322222225925,13998000001.000002,0.0009290181814252067,0.0029982397573181203,0.7054554429720201,2.768983687978038e-08,0.1773456821501501,0
480b91025f5be8d0,7.0,6050000.0,864285.7142857143,780680.4114116767,0.0,0.0,0.0,0.0,0.0,0.0,18.0,593325.51,32962.528333333335,95540.01603166253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1428571224489825,0.055555552469135974,0.09807033223155404,0.13400268465748566,0.020586187674900835,0.36226505965335326,7.698373016074143e-07,0.12921367545576032,0
4a321015f6da531b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39753.0,7950.6,2350.7959928500813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.199999960000008,39753000001.0,0.0033712471434259312,2.79460308105645e-05,0.7753566928435341,4.144298561978752e-08,0.19468898186518907,0
4b69be7da3b45651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,160000000001.0,0.02966413726665171,0.0025423995910335375,0.9398538984943541,9.113129532990178e-08,0.24301513162083366,0
4d16cd529b7aadf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28500.0,28500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,28500000001.0,0.01732179886701896,0.0025423995910335306,0.9824221049716451,4.025307877393642e-08,0.2505715859206941,0
4d9970916609eedd,1.0,350000.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,0.0,2.857142857134694e-12,0.15577012129877357,0.016644014167215553,0.9181694420737682,2.1864564135452864e-07,0.27264594904634964,0
516b9fe460a8ab7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15443.25,15443.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,15443250001.000002,0.015815318212620028,0.002542399591033541,0.9870040792305583,4.992449055781921e-08,0.2513404617396756,0
524ef6bc49f42742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2516002.7,193538.66923076924,276689.27057094016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07692307100591762,2516002700001.0,0.061329596254206316,0.0030455688777780454,0.7576461478391076,2.5715944968982306e-05,0.20551175722901524,0
52eac05f8c0cd90c,1.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.9999990000010001,1.9999999999166667,0.16947263587686098,0.0946280657702905,0.9897836539520838,3.701203801119101e-08,0.3134710981528183,0
532f3d84ba4caf61,1.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999990000010001,0.9999990000010001,1.0,0.17643614032763108,0.0944329125855077,0.9256856581706627,5.11944162516315e-07,0.29913880575699103,0
53446acfe008dbf1,3.0,9359197.09,3119732.3633333333,5283673.604132183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333322222225925,0.0,1.068467722587401e-13,0.35098578160930116,0.09107870400431861,0.9999906512268266,2.1864564126414744e-07,0.36051383887152194,0
582da928bb55efa7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27805.0,13902.5,13940.610191092785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.499999750000125,27805000001.0,0.0013135739008603151,0.004131959740949314,0.6702975367100787,3.766308566662473e-09,0.16893576852954925,0
5a0eeb2c5b3da864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222560.0,222560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999990000010001,222560000001.00003,0.039404232462782504,0.0025423995910335484,0.921864134318395,2.1003839365532325e-07,0.2409527441026512,0
5ae9eeb0d29bc5c0,43.0,11100000.0,258139.53488372092,391263.2521045103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.023255813412655504,0.0,9.009009009008196e-14,0.24822520648636165,0.010175374310249055,0.8066657503617709,2.186456412777848e-07,0.26626663745100576,0
