date,debit_inn,credit_inn,amount,purpose,purpose_risk_score,purpose_len,digit_share,is_weekend,is_month_end,round_large_amount,EllipticEnvelope_score
2020-01-10,d877722ca4e40f98,3a9c5401f637dd8d,9447532.0,возврат займа по договору ои-1/021018 от date_a646370c6975 сумма 9447532-00 без налога (ндс),0.977843400292616,90,0.28888888888888886,0.0,0.0,0.0,0.010450400342526587
2022-08-02,53446acfe008dbf1,d877722ca4e40f98,9220689.82,перечисление займа по договору займа от 20 июля 2022г. без ндс,0.9526070503998593,61,0.09836065573770492,0.0,0.0,0.0,0.010295600601022855
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,9892831.0,оплата по счету № 20 от date_12a233039899 благоустройство.устройство проездов и тротуаров cогласно договора подряда №3-тор от 19.05.17г сумма 9892831-00 в т.ч. ндс (20%) 1648805-00,0.00542948431938308,173,0.23121387283236994,0.0,0.0,0.0,0.010065611629776197
2021-07-01,d877722ca4e40f98,6931e23e98703aa9,9472656.0,"оплата по счету № 9 от date_0816c1dafa53 устройство металлокаркаса.огнезащита металлоконструкций, согласно договора подряда №3-тор от 19.05.17г сумма 9472656-00 в т.ч. ндс (20%) 1578776-00",0.004893133386415144,180,0.19444444444444445,0.0,0.0,0.0,0.009247304865856017
2020-03-16,d877722ca4e40f98,6931e23e98703aa9,10000000.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 10000000-00 в т.ч. ндс (20%) 1666666-67,0.00820894022310672,151,0.24503311258278146,0.0,0.0,1.0,0.008868548198832007
2020-02-13,d877722ca4e40f98,6931e23e98703aa9,10000000.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 10000000-00 в т.ч. ндс (20%) 1666666-67,0.00820894022310672,151,0.24503311258278146,0.0,0.0,1.0,0.008868161189738518
2020-04-07,80799e1a6646b6dc,d877722ca4e40f98,8914567.0,"acc_cd27e0d43c60;возмещение ндс за 4 квартал 2019 ст. 176 нк рф, год: 2020 решение n 236964 от date_2d41ab133eca наименование: ооо ""инкриз"", инн: inn_d877722ca4e4, кпп: 650101001 наименование но: межрайонная инспекция ф",0.025475087415998257,208,0.23076923076923078,0.0,0.0,0.0,0.008571892255181998
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,8843574.0,оплата по счету № 13 от date_3e84c9d36c93 благоустройство. устройство проездов и тротуаров. cогласно договора подряда №3-тор от 19.05.17г сумма 8843574-00 в т.ч. ндс (20%) 1473929-00,0.005566074339623754,173,0.2138728323699422,0.0,0.0,0.0,0.008122785630323438
2021-07-20,8d9e0be733f77f1c,d877722ca4e40f98,8479920.0,возврат неиспользованной суммы по аккредитиву № 8824s2107000h от date_95feb18422fb в связи с заявлением на отзыв аккредитива от date_68f38ec7c834.,0.170378797806725,143,0.18181818181818182,0.0,0.0,0.0,0.007910241112907944
2020-06-30,d877722ca4e40f98,6931e23e98703aa9,8000000.0,оплата по счету № 4 от date_de9a487d4639 устройство кровли по договору подряда №3-тор от 19.05.17г сумма 8000000-00 в т.ч. ндс (20%) 1333333-33,0.009755792066848618,136,0.2647058823529412,0.0,1.0,1.0,0.007549557628517769
