date,debit_inn,credit_inn,amount,purpose,hbos_score,copod_score,global_score,iforest_score_debit,iforest_score_credit,alpha_debit,alpha_credit,behavior_risk_debit,behavior_risk_credit,base_behavior_risk,semantic_risk_score,ts_anomaly_score_txn,graph_edge_score,graph_node_score,correction_score,txn_risk_score,txn_risk_rank
2020-12-14,9d8f54ae3b88911b,d877722ca4e40f98,320000.0,оплата по договору беспроцентного займа №ти-21/051020 от 05.10.20г сумма 320000-00 без налога (ндс),0.9652101076678814,0.9319666985249322,0.9485884030964068,,,0.0,0.0,0.9485884030964068,0.9485884030964068,0.9485884030964068,0.80953157,0.012725659435702457,0.0006971359,0.20367633893077536,0.44931875035731383,1.0,0.9897196261682243
2020-04-28,8d9e0be733f77f1c,d877722ca4e40f98,723000.0,без процентный займ от учредителя,0.8532375201643025,0.9283001669796201,0.8907688435719614,,,0.0,0.0,0.8907688435719614,0.8907688435719614,0.8907688435719614,0.9854089,0.0035931148426883333,0.0007253289,0.20367633893077536,0.5345176533230985,1.0,0.9897196261682243
2019-03-28,89e588b9010869a4,d877722ca4e40f98,1000000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-15/250119 от 25.01.19г сумма 1000000-00 без налога (ндс),0.6203071989339728,0.8446392047594906,0.7324732018467317,,,0.0,0.0,0.7324732018467317,0.7324732018467317,0.7324732018467317,0.85885155,0.999999975448222,0.0016480684,0.20367633893077536,0.7701610364254129,1.0,0.9897196261682243
2021-08-03,7ad54077510c09e4,d877722ca4e40f98,14000.0,выдача займа по договору №4-си/170621 от date_8b1fbb2a73df сумма 14000-00 без налога (ндс),0.7994172547554584,0.8740008572702034,0.836709056012831,,,0.0,0.0,0.836709056012831,0.836709056012831,0.836709056012831,0.8401426,0.04914285144027757,0.0007415414,0.20367633893077536,0.4755494270626902,1.0,0.9897196261682243
2019-09-04,89e588b9010869a4,d877722ca4e40f98,200000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-18/160719 от 16.07.19 сумма 200000-00 без налога (ндс),0.6998419379119082,0.8087090670360807,0.7542755024739944,,,0.0,0.0,0.7542755024739944,0.7542755024739944,0.7542755024739944,0.94423497,0.0,0.0016480684,0.20367633893077536,0.5128527514020303,1.0,0.9897196261682243
2020-11-26,9d8f54ae3b88911b,d877722ca4e40f98,50000.0,оплата по договору беспроцентного займа №ти-21/051020 от 05.10.20г сумма 50000-00 без налога (ндс),0.9721059394283507,0.9255994662347403,0.9488527028315454,,,0.0,0.0,0.9488527028315454,0.9488527028315454,0.9488527028315454,0.82578266,0.0029594557330030967,0.0006971359,0.20367633893077536,0.45451443284086435,1.0,0.9897196261682243
2020-06-19,8d9e0be733f77f1c,d877722ca4e40f98,450000.0,беспроцентный займ от учредителя 450000.00,0.897738990150033,0.8040995205351948,0.8509192553426139,,,0.0,0.0,0.8509192553426139,0.8509192553426139,0.8509192553426139,0.8074691,0.0008531124529863796,0.0007253289,0.20367633893077536,0.44472576630324,1.0,0.9897196261682243
2020-05-22,8d9e0be733f77f1c,d877722ca4e40f98,1000000.0,без процентный займ от учредителя,0.9794668114492942,0.9157070800661773,0.9475869457577357,,,0.0,0.0,0.9475869457577357,0.9475869457577357,0.9475869457577357,0.9854089,0.018417221612376508,0.0007253289,0.20367633893077536,0.538964885354005,1.0,0.9897196261682243
2020-07-09,8d9e0be733f77f1c,d877722ca4e40f98,120000.0,без процентный займ от учредителя,0.8984509710048403,0.9301580314982225,0.9143045012515314,,,0.0,0.0,0.9143045012515314,0.9143045012515314,0.9143045012515314,0.9854089,0.002458975867399211,0.0007253289,0.20367633893077536,0.5341774116305118,1.0,0.9897196261682243
2021-08-10,7ad54077510c09e4,d877722ca4e40f98,20000.0,выдача займа по договору №4-си/170621 от date_8b1fbb2a73df сумма 20000-00 без налога (ндс),0.7894184884257294,0.871453238648005,0.8304358635368672,,,0.0,0.0,0.8304358635368672,0.8304358635368672,0.8304358635368672,0.8563893,0.0457145694891504,0.0007415414,0.20367633893077536,0.48264428069985577,1.0,0.9897196261682243
2020-11-20,9d8f54ae3b88911b,d877722ca4e40f98,30000.0,оплата по договору беспроцентного займа №ти-21/051020 от 05.10.20г сумма 30000-00 без налога (ндс),0.9760435327340337,0.9809317807476724,0.978487656740853,,,0.0,0.0,0.978487656740853,0.978487656740853,0.978487656740853,0.84418094,0.004143237509170436,0.0006971359,0.20367633893077536,0.4640687098297692,1.0,0.9897196261682243
2019-02-13,89e588b9010869a4,d877722ca4e40f98,500000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-15/250119 от 25.01.19г сумма 500000-00 без налога (ндс),0.6861982467595183,0.755494277347043,0.7208462620532807,,,0.0,0.0,0.7208462620532807,0.7208462620532807,0.7208462620532807,0.94255596,0.28571433047437894,0.0016480684,0.20367633893077536,0.597727548925005,1.0,0.9897196261682243
2021-08-11,7ad54077510c09e4,d877722ca4e40f98,10000.0,выдача займа по договору №4-си/170621 от date_8b1fbb2a73df сумма 10000-00 без налога (ндс),0.7292792765596583,0.8581279871772719,0.7937036318684652,,,0.0,0.0,0.7937036318684652,0.7937036318684652,0.7937036318684652,0.8738861,0.05142881162513831,0.0007415414,0.20367633893077536,0.4931069654729153,1.0,0.9897196261682243
