date,debit_inn,credit_inn,amount,purpose,node_score_debit,node_score_credit,txn_node_risk,txn_risk_score,txn_risk_score_blend_graph
2021-01-28,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.40267686691707194,0.3271541513720624
2021-01-29,d877722ca4e40f98,8d9e0be733f77f1c,16.0,"комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. документ(ы):; от 29/01/21 №№: 28 (200000 rur ), 29 (84935 rur ). без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.06709820296416279,0.05869122020973502
2021-01-29,d877722ca4e40f98,032f0b4d2498f263,84935.0,оплата процентов по договору процентного денежного займа №1 от 17.12.20г сумма 84935-00 без налога (ндс),0.025063289192023976,0.046481311321258545,0.046481311321258545,0.228964152451685,0.1924675842255997
2021-01-29,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.11070271953326197,0.09357483346501437
2021-01-29,41face6c4b94dd88,d877722ca4e40f98,6336.0,оплата по счету № 1 от 25.01.2021г. штраф сумма 6336-00 без налога (ндс),0.018237262964248657,0.025063289192023976,0.025063289192023976,0.2835887046629266,0.23188362156874612
2021-01-29,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.26041472796492676,0.2133444402103462
2021-02-01,d877722ca4e40f98,8d9e0be733f77f1c,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №30 (200000 rur ) от 01/02/21. без ндс,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.19452335108735258,0.16063133870828686
2021-02-01,d877722ca4e40f98,8d9e0be733f77f1c,1800.0,комиссия за ведение счета 'acc_ded93f97f389' от '02/12/2014' за период с '01/01/2021' по '31/01/2021' за 31 дней. ндс не облагается,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.3545388927458827,0.288643772035111
2021-02-01,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.12783856214732198,0.10728350755626238
2021-02-01,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.5719003713054407,0.4625329548827574
2021-02-02,d877722ca4e40f98,8d9e0be733f77f1c,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №31 (200000 rur ) от 02/02/21. без ндс,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.059270369138576334,0.052428953149265864
