id,date,debit_inn,credit_inn,amount,risk_score,rule_score,iso_score
,2021-12-20,,d877722ca4e40f98,100000.0,0.9999999988650218,1.0,0.8846271630714444
,2021-12-20,,d877722ca4e40f98,100000.0,0.9996631999992434,1.0,0.8838853011649309
,2021-12-20,,d877722ca4e40f98,100000.0,0.9996631999992434,1.0,0.8838853011649309
,2021-12-20,,d877722ca4e40f98,100000.0,0.9996631999992434,1.0,0.8838853011649309
,2021-12-20,,d877722ca4e40f98,100000.0,0.9996631999992434,1.0,0.8838853011649309
,2021-07-07,d877722ca4e40f98,f009f83433030011,6132000.0,0.9494642099650494,1.0,0.7733127243667203
,2021-07-16,d877722ca4e40f98,365a9e654bc3d301,18900000.0,0.9427934784328722,1.0,0.7586192021635945
,2020-04-15,d877722ca4e40f98,0a10966a0ec7c164,48000.0,0.9386832234264381,1.0,0.7495656039328416
,2019-11-25,d877722ca4e40f98,4a321015f6da531b,8220.0,0.9374214315418491,1.0,0.7467862735127069
,2020-04-15,d877722ca4e40f98,0a10966a0ec7c164,153600.0,0.934419440419258,1.0,0.7401738318336186
,2019-12-17,d877722ca4e40f98,e48c848058fa9e0d,139867.73,0.9335281408288219,1.0,0.7382105793389651
,2020-08-26,d877722ca4e40f98,f009f83433030011,500000.0,0.9330099752541551,1.0,0.7370692236511314
,2022-08-04,d877722ca4e40f98,cb32b2a9fe28f462,127000.0,0.9322255509084932,1.0,0.7353413836857459
,2022-05-20,d877722ca4e40f98,07def9dd5165823e,118.1,0.9300730110591265,1.0,0.7306000158286796
,2019-01-16,d877722ca4e40f98,3f64d17c465bbf92,2000.0,0.9280451708853487,1.0,0.7261333221123953
,2021-02-24,d877722ca4e40f98,f009f83433030011,1000000.0,0.9264664445427432,1.0,0.72265588482447
,2020-06-25,d877722ca4e40f98,365a9e654bc3d301,500000.0,0.9252873379753864,1.0,0.7200586841360992
,2020-10-27,d877722ca4e40f98,ceada355d716d7cb,55000.0,0.924483003983089,1.0,0.7182869894849889
,2021-01-27,d877722ca4e40f98,f009f83433030011,1000000.0,0.9241407525794113,1.0,0.7175331173534645
,2021-05-05,d877722ca4e40f98,917804652432403b,4999.97,0.9240157944581605,1.0,0.7172578739382255
,2020-12-21,d877722ca4e40f98,f009f83433030011,1000000.0,0.9230728767055923,1.0,0.7151809228772733
,2019-12-17,d877722ca4e40f98,aab73ac39e001729,1784.0,0.9225041244717913,1.0,0.7139281406996184
,2020-11-05,d877722ca4e40f98,917804652432403b,2726.98,0.9222969957315615,1.0,0.7134719012708854
,2022-02-09,d877722ca4e40f98,5a0eeb2c5b3da864,222560.0,0.9213320903857424,1.0,0.7113465184617711
,2019-02-27,d877722ca4e40f98,659207c64fee1c66,100000.0,0.9200823440788595,1.0,0.7085937206584293
,2021-09-03,d877722ca4e40f98,917804652432403b,4999.47,0.9198279490436969,1.0,0.708033368457251
,2020-06-05,d877722ca4e40f98,917804652432403b,9668.74,0.9194680530752952,1.0,0.7072406309026039
,2023-01-09,d877722ca4e40f98,524ef6bc49f42742,959369.6,0.9193123997630802,1.0,0.7068977756418293
,2020-07-09,d877722ca4e40f98,d730bafb027f9825,388500.0,0.9189233272995134,1.0,0.7060407714505399
,2021-07-07,d877722ca4e40f98,917804652432403b,4999.97,0.9188521326073047,1.0,0.7058839519494597
,2021-10-22,d877722ca4e40f98,917804652432403b,14447.51,0.9185065208130047,1.0,0.7051226779349512
,2021-07-20,d877722ca4e40f98,777e4d144e99f74a,4931506.0,0.9173645488638358,1.0,0.7026072731237217
,2020-01-10,d877722ca4e40f98,3a9c5401f637dd8d,9447532.0,0.9172858174043343,1.0,0.7024338524962104
,2019-12-27,d877722ca4e40f98,6ef5667d7851dcbc,3000000.0,0.9171776145346475,1.0,0.7021955156270808
,2020-10-20,d877722ca4e40f98,4a321015f6da531b,8905.0,0.9170126018122224,1.0,0.7018320445311363
,2021-03-05,d877722ca4e40f98,917804652432403b,4999.97,0.9166643894429867,1.0,0.7010650422684773
,2020-09-09,d877722ca4e40f98,f009f83433030011,200000.0,0.916580188980303,1.0,0.700879575148119
,2021-07-09,d877722ca4e40f98,365a9e654bc3d301,2320696.0,0.916526726965816,1.0,0.7007618151553661
,2020-02-27,d877722ca4e40f98,52eac05f8c0cd90c,24000.0,0.9163507819247924,1.0,0.7003742636020859
,2020-12-21,d877722ca4e40f98,1d83fd5f5fefc19f,158620.67,0.9162447980539983,1.0,0.70014081448917
,2020-12-30,d877722ca4e40f98,917804652432403b,4999.97,0.9160848146848886,1.0,0.6997884214757789
,2021-10-05,d877722ca4e40f98,917804652432403b,4999.97,0.91602622363024,1.0,0.6996593638217229
,2021-06-04,d877722ca4e40f98,917804652432403b,4999.97,0.91602622363024,1.0,0.6996593638217229
,2021-02-05,d877722ca4e40f98,917804652432403b,4999.97,0.9160247374336852,1.0,0.6996560901984371
,2021-04-05,d877722ca4e40f98,917804652432403b,4999.47,0.9157966601204197,1.0,0.6991537076560829
,2022-08-11,d877722ca4e40f98,cb32b2a9fe28f462,2570000.0,0.9144743660082263,1.0,0.6962411098693404
,2020-12-04,d877722ca4e40f98,917804652432403b,4999.97,0.9142088619814832,1.0,0.6956562880558477
,2020-07-03,d877722ca4e40f98,89f78d49598151f0,78328.2,0.9140644302584882,1.0,0.6953381504245509
,2021-10-27,d877722ca4e40f98,4a321015f6da531b,10960.0,0.9136153248368393,1.0,0.6943489125197257
