txn_id,date,inn,side,amount,purpose,iforest_score_debit,iforest_rank_debit
a914c41a13ec94ad2efd292d7838e5e5e237989bc7b69679fa5c0601739eabc9,2019-01-15,ad57c94e5b8df8f6,debit,3400000.0,перевод денежных средств по договору займа № чи-1/271218 от 27.12.2018г. сумма 3400000-00 без налога (ндс),0.9999999976099613,1.0
6f692936c4d37e911bb4758e9c67fadc3ac4d12a11619e4b45807e9a0742409a,2021-05-21,5ae9eeb0d29bc5c0,debit,2350000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 2350000-00 без налога (ндс),0.9999999975776485,1.0
6f0c8393c53f9de20b49f61831b09790aff6752a1f476fa0b0765b0ef7893691,2021-07-06,d877722ca4e40f98,debit,100000000.0,формирование покрытия по внутрироссийскому аккредитиву № 8824s2107000h на основании заявления № 4 от 06.07.2021г,0.9999999975554902,1.0
fe4aac925c29eb5ee3884ea411b3ca4cfbe392e34a20aff74ee9bd4691be6d3a,2021-07-06,8d9e0be733f77f1c,debit,100000000.0,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 45997949 от date_f71bf3d6bd61. ндс нет.,0.9999999974957343,1.0
b860707a3e5b516a1b6ae89329d51e47e3faced59aaae56072ed1539d07d5ba6,2021-11-22,9d8f54ae3b88911b,debit,836.96,возврат излишне уплаченая сумма сумма 836-96 без налога (ндс),0.9999999971873438,1.0
4b45e9f893971edcaf10ede05b403119a072799bbf0c1ce03dc31a97aaafac09,2019-04-22,6ef5667d7851dcbc,debit,2000000.0,перевод денежных средств по договору № ли-1/220419 от 22.04.2019г. сумма 2000000-00 без налога (ндс),0.9999999966982843,1.0
c62f1f5088c0a82b77cedf5f8a845c1e70438fd1ecfa56c52a526e0aa8045d68,2020-07-31,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.9999999966404644,1.0
48d2d4b3fef323b7ad43f5b7bf45bed232b9ebf63edf6e9eafff9fdb1a137d92,2021-06-16,7ad54077510c09e4,debit,1850000.0,выдача займа по договору №3-си/160621 от date_31f6fed8f2d6 сумма 1850000-00 без налога (ндс),0.9999999966362124,1.0
fc6492a121cc21ae630ce6f5646c9e6a0c70f31cfd1310d616663d573ce4f6d3,2021-12-02,nan,debit,1000000.0,оплата по договор_15b9b24e626e займа №34 от 01.10.2021г. за займодавца хо сон дя,0.9999999965340433,1.0
6a717fcfc5167589049d64862bd50911f1c698ba6465e40180ae6b727cf07bab,2019-10-31,89e588b9010869a4,debit,300000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-19/041019 от 04.10.19г сумма 300000-00 без налога (ндс),0.9999999947881456,1.0
e93b01567cd958e16c3c073115e2d002d1c9e68b55d5be261e2cab378f47dd59,2019-10-16,9d8f54ae3b88911b,debit,17000000.0,оплата по договору беспроцентного займа №ти-17/161019 от 16.10.19 сумма 17000000-00 без налога (ндс),0.9708696579352286,0.96875
f471ae9a22d722f1a8b9643208291df63eece99300375764273f2bd0ae3f5879,2021-07-09,d877722ca4e40f98,debit,69500000.0,"окончательная оплата по счету №9 от date_aaac92e3774d, согласно договора подряда №3-тор от 19.05.17г сумма 69500000-00 в т.ч. ндс (20%) 11583333-00",0.970111090750883,0.9995353159851301
e7cbd15795c5bbd3c0d1d68b62dbf8d60fa24834f95209de34d337b417fdb196,2021-11-26,nan,debit,3500000.0,взнос займа по договору №34 от date_e98770c5fdf8 за займодавца хо сон дя,0.9643507947907843,0.9090909090909091
4af1f77b5c8d517539115f48d034d9c64b175b4f44ad285ae455a1e8bd4b6280,2021-07-08,d877722ca4e40f98,debit,26297591.0,частичная оплата по счету №9 от date_aaac92e3774d cогласно договора подряда №3-тор от 19.05.17г сумма 26297591-00 в т.ч. ндс (20%) 4382932-00,0.9405406382186282,0.9990706319702602
bee78213ba5ad699964875b36f1359421a3eb10591ca0c835dc894971448b2ab,2019-07-10,6ef5667d7851dcbc,debit,2000000.0,перевод денежных средств по договору № ли-2/060519 от 06.05.2019г. сумма 2000000-00 без налога (ндс),0.9238044207751428,0.95
8c91fbec3cf8b84fdd9b69ed25b6c6f129e148aad18cfba0ba4b3c3fc203c4b1,2019-05-07,6ef5667d7851dcbc,debit,1600000.0,перевод денежных средств по договору № ли-1/220419 от 22.04.2019г. сумма 1600000-00 без налога (ндс),0.9020488501231748,0.9
38eaaa16f3d3763368c4a1b5ae1fdde57e8bbedab301931a6135540b25a7a6e0,2019-04-30,89e588b9010869a4,debit,10000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-16/220419 от 22.04.19 сумма 10000-00 без налога (ндс),0.8924715848356178,0.9375
e9a4e3336b289baa47bd8826ebc85d843ecf12489c25083d2acc5b8f007d38f3,2021-07-08,d877722ca4e40f98,debit,9892831.0,оплата по счету № 20 от date_12a233039899 благоустройство.устройство проездов и тротуаров cогласно договора подряда №3-тор от 19.05.17г сумма 9892831-00 в т.ч. ндс (20%) 1648805-00,0.8848435533678387,0.9986059479553904
958296ec54d4e8d82e53561a585a0f0e04f6c9751e749929134558f1fe18bb11,2019-05-31,6ef5667d7851dcbc,debit,1000000.0,перевод денежных средств по договору № ли-2/060519 от 06.05.2019г. сумма 1000000-00 без налога (ндс),0.8820583749220192,0.85
