txn_id,date,inn,side,amount,purpose,iforest_score_debit
,2021-07-08,8d9e0be733f77f1c,debit,68060174.0,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 46070607 от date_cddc49f67133. ндс нет.,0.8610486623489286
,2019-01-14,d877722ca4e40f98,debit,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №4 (6000000 rur ) от 14/01/19. без ндс,0.8601284529784581
,2021-07-09,8d9e0be733f77f1c,debit,71900696.0,"частичный возврат суммы покрытия по аккредитиву № 8824s2107000h от 07,07,2021 в связи с изменением суммы аккредитива на основании заявления № 5 от 09,07,2021",0.8561862084449553
,2021-07-08,d877722ca4e40f98,debit,8843574.0,оплата по счету № 13 от date_3e84c9d36c93 благоустройство. устройство проездов и тротуаров. cогласно договора подряда №3-тор от 19.05.17г сумма 8843574-00 в т.ч. ндс (20%) 1473929-00,0.8550907269418938
,2019-12-11,d877722ca4e40f98,debit,20000000.0,возврат по договору беспроцентного займа №ти-17/161019 от 16.10.19г сумма 20000000-00 без налога (ндс),0.851676210265928
,2021-07-07,d877722ca4e40f98,debit,6132000.0,оплата по счету № 124/1 от 17.06.2021г оплата за постанцию трансформаторная сумма 6132000-00 в т.ч. ндс (20%) 1022000-00,0.844475911756802
,2019-01-10,d877722ca4e40f98,debit,4282.0,оплата по договору электроэнергия по дог.№112458 от 03.03.17 по сф 42411-080-02 от 31.12.18 аванс 70% за январь 2018г сумма 4282-00 в т.ч. ндс (18%) 653-19,0.8345460681432572
,2019-01-10,d877722ca4e40f98,debit,10.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №2 (4282 rur ) от 10/01/19. без ндс,0.8328250867790832
,2021-07-08,d877722ca4e40f98,debit,6292056.0,оплата по счету № 15 от 10.08.2020г пусконаладочные работы.система отопления cогласно договора подряда №3-тор от 19.05.17г сумма 6292056-00 в т.ч. ндс (20%) 1048676-00,0.811829044743248
,2021-07-09,d877722ca4e40f98,debit,2320696.0,оплата по счету № 7 от date_3967c84bf0f7 внутреннее (временное) электроснабжение сумма 2320696-00 без налога (ндс),0.808325629992659
,2019-12-11,8d9e0be733f77f1c,debit,20000000.0,поступление займа от учредителя 20000000.00,0.7967182645255184
,2019-01-16,d877722ca4e40f98,debit,33600.0,оплата по счету № 109 от date_8e9b70caae61 бух услуги за декабрь 2018г согласно договора №3 от 09.01.18 сумма 33600-00 без налога (ндс),0.7964980543059423
,2021-07-20,d877722ca4e40f98,debit,1214381.15,налог на имущество организаций за 1 квартал 2021 года,0.7911719721742776
