inn,max_final,p95_final,mean_final,n_txn,last_date
6ef5667d7851dcbc,1.0,1.0,0.5839093489474314,20,2019-07-30
659207c64fee1c66,1.0,1.0,0.5770330909245215,60,2020-12-25
ad57c94e5b8df8f6,1.0,0.999036388936758,0.5681564549517548,23,2019-10-10
5ae9eeb0d29bc5c0,0.9999999972630507,0.929733963639709,0.5316254530866829,43,2021-05-21
9d8f54ae3b88911b,0.9999999971779763,0.8859374999999999,0.5234697829439893,32,2021-11-22
nan,0.9999999967796083,0.7882352934735686,0.5432525949662745,17,2021-12-27
d877722ca4e40f98,0.9999999965703561,0.7251266114180479,0.5018551416922404,2172,2025-02-02
8d9e0be733f77f1c,0.9999999965511721,0.745877048309519,0.5080058048323102,225,2022-09-27
7ad54077510c09e4,0.9999999958490057,0.889681362850874,0.5416345062649776,24,2022-08-19
89e588b9010869a4,0.9999999950773394,0.8831351437625369,0.5695363802239893,16,2019-10-31
