source,title,url,date,snippet,article_excerpt
РИА Новости,Сбербанк провел конференцию о будущем обучения в эпоху ИИ,https://ria.ru/20251024/konferentsiya-2050451682.html,,,"МОСКВА, 24 окт - РИА Новости. Конференция ""Больше чем обучение"" прошла в кампусе ""СберУниверситета"", эксперты из сфер бизнеса, науки и технологий обсудили будущее обучения в эпоху искусственного интеллекта, сообщает пресс-служба ""Сбера""."
РИА Новости,"Сбербанк предупредил о волне мошеннической схемы ""звонок из военкомата""",https://ria.ru/20251021/moshennichestvo-2049648601.html,,,"МОСКВА, 21 окт - РИА Новости. Сбербанк предупреждает, что активизировалась мошенническая схема ""звонок из военкомата"", злоумышленники атакуют молодёжь призывного возраста и родственников погибших на СВО, сообщили в пресс-службе кредитной организации."
РИА Новости,Сбербанк увеличил ставки по вкладам,https://ria.ru/20251021/sberbank-2049488388.html,,,"МОСКВА, 21 окт - РИА Новости. Сбербанк с 21 октября увеличивает ставки по вкладам на 0,5-2,1 процентных пункта, за три дня перед заседанием ЦБ РФ, максимальная для обычных клиентов теперь составит 16% годовых на 3 месяца, сообщили в пресс-службе кредитной организации."
РИА Новости,"Сбербанк стал совладельцем еще одного проекта ""ОМ девелопмента""",https://realty.ria.ru/20251020/sberbank-2049298358.html,,,"МОСКВА, 20 окт – РИА Недвижимость. Сбербанк стал совладельцем еще одного жилищного проекта ""ОМ девелопмента"" в Москве, написала газета ""Ведомости"" ."
РИА Новости,"""Сбер"" одобрил в 2025 году 60% кредитов для застройщиков жилья с помощью ИИ",https://realty.ria.ru/20251017/sberbank-2048890849.html,,,"С.-ПЕТЕРБУРГ, 17 окт - РИА Недвижимость. Сбербанк одобрил в 2025 году 60% сделок по финансированию строительства жилья с помощью искусственного интеллекта, сообщил зампред правления кредитной организации Анатолий Попов."
РИА Новости,Сбербанк: цены на жилье могут начать расти выше инфляции в конце 2026 года,https://realty.ria.ru/20251017/tseny-2048852575.html,,,"С.-ПЕТЕРБУРГ, 17 окт - РИА Недвижимость. Цены на жилье в России могут начать расти темпами выше инфляции уже с конца 2026 года, считает старший управляющий директор - директор аналитического управления Сбербанка Наталья Загвоздина."
РИА Новости,Сбербанк взыскал с Euroclear Bank более 30 миллиардов рублей,https://ria.ru/20251016/sberbank-2048679976.html,,,"МОСКВА, 16 окт – РИА Новости. Арбитражный суд Москвы по иску Сбербанка взыскал с бельгийского Euroclear Bank порядка 31,6 миллиарда рублей, передает корреспондент РИА Новости из зала суда."
